,timestamp,x,y,z,clock_bias_us,distance_from_center,altitude_km
40,2022-01-20 04:25:00,4478166.333530996,-4673947.402362395,-2470149.7718940787,-6.334780529827105e-07,6928304.116189545,550.304116189545
41,2022-01-20 04:30:00,5638786.87033898,-2916858.607639102,-2774516.601446285,5.090396151227894e-07,6928342.0728025995,550.3420728025995
42,2022-01-20 04:35:00,6281822.599877573,-888621.1936551613,-2781370.9953785357,4.523681748277993e-06,6927262.6206950415,549.2626206950415
43,2022-01-20 04:40:00,6346097.626893099,1218788.3669196623,-2489841.4247410796,9.18664271316302e-06,6925150.575529287,547.1505755292866
44,2022-01-20 04:45:00,5823184.082251999,3206252.291156032,-1930902.341925726,1.4115180073101683e-05,6922276.39323876,544.2763932387596
45,2022-01-20 04:50:00,4758495.338932529,4885900.867649645,-1164317.0787872227,1.9593059051255354e-05,6918882.817268823,540.8828172688233
46,2022-01-20 04:55:00,3247913.7985740067,6098967.433907818,-272292.7573648909,2.1238149839580097e-05,6915236.159998364,537.2361599983639
47,2022-01-20 05:00:00,1429584.960310348,6730963.00317816,649071.220213991,2.6446593086316638e-05,6911647.3837869335,533.6473837869335
48,2022-01-20 05:05:00,-528479.1902625617,6723063.201086621,1500268.142775312,3.2178273698548345e-05,6908666.5544497175,530.6665544497175
49,2022-01-20 05:10:00,-2444028.161931747,6077443.248126458,2189103.6635881024,3.324116488169505e-05,6906574.037860464,528.5740378604643
50,2022-01-20 05:15:00,-4137716.9834693037,4857123.244859968,2640931.4198250156,5.837756793422096e-05,6905567.812661629,527.5678126616292
51,2022-01-20 05:20:00,-5449764.498524746,3180460.0306946556,2806723.3605070296,4.4084711908577235e-05,6906008.624280945,528.0086242809454
52,2022-01-20 05:25:00,-6255889.138458602,1208283.7545495403,2668672.7267108355,5.0354632535170685e-05,6907815.332395828,529.8153323958284
53,2022-01-20 05:30:00,-6478215.824964639,-871534.7944335978,2241818.6543521746,6.280076967663473e-05,6910325.900544205,532.3259005442047
54,2022-01-20 05:35:00,-6094352.982116755,-2861265.280085749,1572682.8767020965,4.7030370649927365e-05,6913849.051312268,535.8490513122678
55,2022-01-20 05:40:00,-5138008.442391274,-4573498.274343314,733709.0295942498,3.575456273208799e-05,6917683.583369032,539.6835833690316
56,2022-01-20 05:45:00,-3696816.226753072,-5848477.552376953,-184403.39941193842,2.4537918006141785e-05,6921354.239508091,543.3542395080906
57,2022-01-20 05:50:00,-1904005.4030089027,-6568969.057129464,-1082704.9020539932,1.4293699466609606e-05,6924510.159797818,546.5101597978183
58,2022-01-20 05:55:00,74148.08669052235,-6670704.328959898,-1864655.8407920974,4.914321811943398e-06,6926812.801553416,548.8128015534161
59,2022-01-20 06:00:00,2053691.1241590038,-6147871.758920118,-2446413.260616369,6.344128842264092e-07,6928124.727463893,550.1247274638927
60,2022-01-20 06:05:00,3849854.8027611794,-5052745.193321704,-2765754.5366790867,-8.787073692289947e-07,6928276.419726616,550.2764197266158
61,2022-01-20 06:10:00,5294167.911295227,-3490454.0864344086,-2788499.230436664,-1.0112200141830743e-07,6927280.242681148,549.2802426811485
62,2022-01-20 06:15:00,6249882.869685739,-1608881.0472030744,-2512130.5735525507,2.153719472442717e-06,6925340.000853241,547.3400008532415
63,2022-01-20 06:20:00,6624489.274094297,415115.2763151785,-1965990.7173544643,7.056315979577389e-06,6922521.096821918,544.5210968219181
64,2022-01-20 06:25:00,6379103.895314506,2391961.582736311,-1208418.241794674,1.004178696159349e-05,6919156.116724441,541.1561167244408
65,2022-01-20 06:30:00,5532504.947076963,4136729.75572548,-320646.75103305245,1.130971838997098e-05,6915486.852007146,537.486852007146
66,2022-01-20 06:35:00,4160701.236825806,5486511.5122707635,601693.4969902957,1.5024667530253672e-05,6911966.320861512,533.9663208615119
67,2022-01-20 06:40:00,2390019.6259834296,6316036.616396184,1458981.1538530027,1.7447055826633115e-05,6908917.307331271,530.9173073312705
68,2022-01-20 06:45:00,385874.436429187,6549488.465851716,2158359.090888691,2.7705432843903498e-05,6906751.205178602,528.7512051786017
69,2022-01-20 06:50:00,-1662945.4491970453,6167515.713049436,2624083.140629432,2.983334306775707e-05,6905754.844088551,527.7548440885506
70,2022-01-20 06:55:00,-3562522.384766395,5208552.864671476,2805673.695379259,3.980441879147739e-05,6905967.967706062,527.9679677060619
71,2022-01-20 07:00:00,-5131571.375058635,3765469.8791437023,2683486.6998429885,7.595547136381647e-05,6907451.704955588,529.4517049555881
