code,sat,Time,dunno,clk_offset,clk_rate
AS,G32,2022 01 20 01 00  0.000000,2,-0.000053313570247100,0.000000000018526758
AS,J01,2022 01 20 01 00  0.000000,2,0.000287641838559000,0.000000000002964079
AS,J02,2022 01 20 01 00  0.000000,2,-0.000000861675063246,0.000000000002725501
AS,J03,2022 01 20 01 00  0.000000,2,-0.000000213746489985,0.000000000002628220
AS,R01,2022 01 20 01 00  0.000000,2,0.000007128130806090,0.000000000018645290
AS,R02,2022 01 20 01 00  0.000000,2,0.000507058195534000,0.000000000018609660
AS,R03,2022 01 20 01 00  0.000000,2,0.000050195061475100,0.000000000018611215
AS,R04,2022 01 20 01 00  0.000000,2,0.000124263710927000,0.000000000018512245
AS,R05,2022 01 20 01 00  0.000000,2,0.000086249302296100,0.000000000018508502
AS,R07,2022 01 20 01 00  0.000000,2,0.000030827280256700,0.000000000018702870
AS,R08,2022 01 20 01 00  0.000000,2,-0.000063185810833000,0.000000000018710013
AS,R09,2022 01 20 01 00  0.000000,2,0.000034986599693100,0.000000000018755376
AS,R11,2022 01 20 01 00  0.000000,2,0.000046932720843800,0.000000000018606328
AS,R12,2022 01 20 01 00  0.000000,2,0.000296351909315000,0.000000000018593740
AS,R13,2022 01 20 01 00  0.000000,2,-0.000017274286525500,0.000000000018662584
AS,R14,2022 01 20 01 00  0.000000,2,0.000073401426842900,0.000000000018557489
AS,R15,2022 01 20 01 00  0.000000,2,0.000098762022413700,0.000000000018589695
AS,R17,2022 01 20 01 00  0.000000,2,0.000494119716110000,0.000000000018587138
AS,R18,2022 01 20 01 00  0.000000,2,0.000104410108922000,0.000000000018641098
AS,R19,2022 01 20 01 00  0.000000,2,-0.000175061572138000,0.000000000018556352
AS,R20,2022 01 20 01 00  0.000000,2,-0.000063368722095400,0.000000000018501980
AS,R21,2022 01 20 01 00  0.000000,2,-0.000271424690359000,0.000000000018547045
AS,R22,2022 01 20 01 00  0.000000,2,-0.000159217833395000,0.000000000018656530
AS,R24,2022 01 20 01 00  0.000000,2,0.000076408753554300,0.000000000018629179
